Titulo balance electrico 2019 2021
Sistema electrico NACIONAL
Magnitudes GWh
 
                            2019                 2020                  2021

Hidraulica:               24719,015----------30631,723------------29626,009
Eolica:                   54245,055----------54906,246------------60525,656
Solar fotovoltaica:       9252,018-----------15302,144------------20981,043
Solar termica:            5166,431-----------4538,31--------------4705,524
Hidroeolica:              23,248-------------19,54----------------23,098
Otras renovables:         3617,715-----------4481,581-------------4719,873
Residuos renovables:      889,813------------725,652--------------877,940
Generacion renovable:     97913,298----------110605,198-----------121459,146
Turbinacion bombeo:       1645,505-----------2751,447-------------2649,324
Nuclear:                  55824,226----------55758,359------------54041,019
Ciclo combinado:          55241,97-----------44022,855------------44500,099
Carbon:                   12670,637----------5020,712-------------4983,143
Motores diesel:           2836,053-----------2399,492-------------2517,424
Turbina de gas:           670,532------------406,582--------------423,579
Turbina de vapor:         2189,01------------1387,607-------------1108,055
Fuel + Gas:               (-0,000001)--------ND-------------------(-0,000001)
Cogeneracion:             29615,139----------27030,313------------26090,646
Residuos no renovables:   2222,463-----------2016,187-------------2238,741
Generacion no renovable:  162915,537---------140793,551-----------138552,039
Consumos en bombeo:       (-3027,31)---------(-4627,715)----------(-4317,786)
Importacion Francia,"12813,152965","11421,710799","11931,251116000001","12813,152965","12813,152965","11421,710799","11421,710799","11931,251116000001","11931,251116000001",,,,,,,,,,,,,,,,,,,,,,,,,,,
Importacion Portugal,"4699,957512","6096,881451","4791,77415","4699,957512","4699,957512","6096,881451","6096,881451","4791,77415","4791,77415",,,,,,,,,,,,,,,,,,,,,,,,,,,
Importacion Marruecos,"1207,71438","409,7561","688,1859300000001","1207,71438","1207,71438","409,7561","409,7561","688,1859300000001","688,1859300000001",,,,,,,,,,,,,,,,,,,,,,,,,,,
Importacion Andorra,"0,01472","0,01601","0,01216","0,01472","0,01472","0,01601","0,01601","0,01216","0,01216",,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportacion Francia,"-3116,290037","-6192,458406000001","-6280,765213000001","-3116,290037","-3116,290037","-6192,458406000001","-6192,458406000001","-6280,765213000001","-6280,765213000001",,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportacion Portugal,"-8099,031121","-7553,564757","-9543,490542","-8099,031121","-8099,031121","-7553,564757","-7553,564757","-9543,490542","-9543,490542",,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportacion Marruecos,"-434,93118","-706,6107","-509,39259999999996","-434,93118","-434,93118","-706,6107","-706,6107","-509,39259999999996","-509,39259999999996",,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportacion Andorra,"-208,26219","-196,14560999999998","-225,13509","-208,26219","-208,26219","-196,14560999999998","-196,14560999999998","-225,13509","-225,13509",,,,,,,,,,,,,,,,,,,,,,,,,,,
Importacion,"12813,152965","4699,957512","1207,71438","0,01472","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","4791,77415","688,1859300000001","0,01216","12813,152965","12813,152965","12813,152965","12813,152965","12813,152965","4699,957512","1207,71438","0,01472","11421,710799","11421,710799","11421,710799","11421,710799","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","4791,77415","688,1859300000001","0,01216"
Importacion,"12813,152965","4699,957512","1207,71438","0,01472","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","4791,77415","688,1859300000001","0,01216","12813,152965","12813,152965","12813,152965","12813,152965","12813,152965","4699,957512","1207,71438","0,01472","11421,710799","11421,710799","11421,710799","11421,710799","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","4791,77415","688,1859300000001","0,01216"
Importacion,"12813,152965","4699,957512","1207,71438","0,01472","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","4791,77415","688,1859300000001","0,01216","12813,152965","12813,152965","12813,152965","12813,152965","12813,152965","4699,957512","1207,71438","0,01472","11421,710799","11421,710799","11421,710799","11421,710799","11421,710799","6096,881451","409,7561","0,01601","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","11931,251116000001","4791,77415","688,1859300000001","0,01216"
