T�tulo,balance-electrico_2021_2023,,,,,,,,,,,,,,,,,
Sistema el�ctrico,NACIONAL,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,2021,2022,2023,,,,,,,,,,,,,,,
Hidr�ulica,"29626,009058999898","17863,039858999902","9814,21663","29626,009058999898","29626,009058999898","17863,039858999902","17863,039858999902","9814,21663","9814,21663","29626,009058999898","29626,009058999898","29626,009058999898","17863,039858999902","17863,039858999902","17863,039858999902","9814,21663","9814,21663","9814,21663"
E�lica,"60525,656892","61175,5922740002","23037,700804","60525,656892","60525,656892","61175,5922740002","61175,5922740002","23037,700804","23037,700804","60525,656892","60525,656892","60525,656892","61175,5922740002","61175,5922740002","61175,5922740002","23037,700804","23037,700804","23037,700804"
Solar fotovoltaica,"20981,043298","27864,341912","10001,839145","20981,043298","20981,043298","27864,341912","27864,341912","10001,839145","10001,839145","20981,043298","20981,043298","20981,043298","27864,341912","27864,341912","27864,341912","10001,839145","10001,839145","10001,839145"
Solar t�rmica,"4705,524869","4123,275375","1286,824586","4705,524869","4705,524869","4123,275375","4123,275375","1286,824586","1286,824586","4705,524869","4705,524869","4705,524869","4123,275375","4123,275375","4123,275375","1286,824586","1286,824586","1286,824586"
Hidroe�lica,"23,098239000000003","22,880844","5,5076279999999995","23,098239000000003","23,098239000000003","22,880844","22,880844","5,5076279999999995","5,5076279999999995","23,098239000000003","23,098239000000003","23,098239000000003","22,880844","22,880844","22,880844","5,5076279999999995","5,5076279999999995","5,5076279999999995"
Otras renovables,"4719,873222","4656,293982","1189,46516","4719,873222","4719,873222","4656,293982","4656,293982","1189,46516","1189,46516","4719,873222","4719,873222","4719,873222","4656,293982","4656,293982","4656,293982","1189,46516","1189,46516","1189,46516"
Residuos renovables,"877,940731","877,7075629999999","264,649677","877,940731","877,940731","877,7075629999999","877,7075629999999","264,649677","264,649677","877,940731","877,940731","877,940731","877,7075629999999","877,7075629999999","877,7075629999999","264,649677","264,649677","264,649677"
Generaci�n renovable,"121459,1463099999","116583,13180900009","45600,203629999996","121459,1463099999","121459,1463099999","116583,13180900009","116583,13180900009","45600,203629999996","45600,203629999996","121459,1463099999","121459,1463099999","121459,1463099999","116583,13180900009","116583,13180900009","116583,13180900009","45600,203629999996","45600,203629999996","45600,203629999996"
Turbinaci�n bombeo,"2649,3242609999998","3775,566857","1725,4713829999998","2649,3242609999998","2649,3242609999998","3775,566857","3775,566857","1725,4713829999998","1725,4713829999998","2649,3242609999998","2649,3242609999998","2649,3242609999998","3775,566857","3775,566857","3775,566857","1725,4713829999998","1725,4713829999998","1725,4713829999998"
Nuclear,"54041,019731","55983,500262999994","18840,16067","54041,019731","54041,019731","55983,500262999994","55983,500262999994","18840,16067","18840,16067","54041,019731","54041,019731","54041,019731","55983,500262999994","55983,500262999994","55983,500262999994","18840,16067","18840,16067","18840,16067"
